feature_set,features,model,model_family,priority,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
FS2,Text + type,xgboost,gradient_boosting,low,0.4627969522899121,0.021921126742979958,0.11025989878410059,0.008936283906368154,0.17792008847506297,0.011890603395913909
FS2,Text + type,xgboost,gradient_boosting,medium,0.46508862525997136,0.00458626694672959,0.6401161939399664,0.009845291904360304,0.5387164141733494,0.005245609025452042
FS3,Text + type + language,complement_naive_bayes,probabilistic,high,0.5135187900303009,0.003371987980643878,0.5839700186302592,0.019551878084560274,0.5463761559506758,0.009468833704840428
FS3,Text + type + language,complement_naive_bayes,probabilistic,low,0.3381545692229673,0.0053512103717221465,0.32823463316569307,0.010702504273069763,0.3330627615756635,0.007037164972322847
FS3,Text + type + language,complement_naive_bayes,probabilistic,medium,0.4887987517218785,0.009692379732214918,0.43083585244314293,0.01323789300755646,0.45782069369471723,0.00708756215752999
FS3,Text + type + language,knn_cosine,instance_based,high,0.5055479020779631,0.012143151814131494,0.540198309177079,0.03346795838367861,0.5216128562560857,0.011245219396531975
FS3,Text + type + language,knn_cosine,instance_based,low,0.5056070717155442,0.03799187077435811,0.265126768063067,0.036638134019279456,0.3452523824012548,0.02067233100749575
FS3,Text + type + language,knn_cosine,instance_based,medium,0.5004961791927774,0.013708204092699109,0.585787733509671,0.034118774176464126,0.5391232608933619,0.011038480106969888
FS3,Text + type + language,lightgbm,gradient_boosting,high,0.5523302519008022,0.005544218290745855,0.5868793595151245,0.020012183595907104,0.5689502434645589,0.010427600929954626
FS3,Text + type + language,lightgbm,gradient_boosting,low,0.4493030025306487,0.021598000142707262,0.23921992008321094,0.01236890731642534,0.31213590165704164,0.014786671495397832
FS3,Text + type + language,lightgbm,gradient_boosting,medium,0.49880412922710626,0.01239186620536831,0.5874158656684694,0.012017805136744143,0.539368924741998,0.008306266582645093
FS3,Text + type + language,linear_svm,linear,high,0.5440875900212067,0.008662275650931816,0.5569883524847552,0.017689615040755245,0.550372493376775,0.011268045739527686
FS3,Text + type + language,linear_svm,linear,low,0.3753120979440635,0.0159011181792537,0.3405572063870256,0.012980642783685358,0.3570758266067144,0.014109015346577934
FS3,Text + type + language,linear_svm,linear,medium,0.4987290818468974,0.015056357504204998,0.5107040124695935,0.015733056824202587,0.5045893787428234,0.01423737524117077
FS3,Text + type + language,logistic_regression,linear_baseline,high,0.5473767763393905,0.00907301631175823,0.540754647695093,0.018022795708730933,0.5439526717976697,0.011883215720918792
FS3,Text + type + language,logistic_regression,linear_baseline,low,0.36890004710919483,0.012222433669473821,0.3828368429483925,0.01321181592704428,0.37572584011428695,0.012465240875178684
FS3,Text + type + language,logistic_regression,linear_baseline,medium,0.50175672151319,0.015232045074522933,0.4977734808587016,0.013142550806156233,0.49969807670928124,0.012893926240924346
FS3,Text + type + language,random_forest,bagging_ensemble,high,0.5613895003945708,0.004937518258138999,0.5497085144608536,0.020871142084813943,0.5552758450612776,0.009704669546489367
FS3,Text + type + language,random_forest,bagging_ensemble,low,0.4591520575642252,0.026873288862182727,0.22561443646479895,0.015673723534257417,0.3025387200446888,0.01978089457231619
FS3,Text + type + language,random_forest,bagging_ensemble,medium,0.4852253836324457,0.004488641467694456,0.6211002408898756,0.017096119414798293,0.5447043656050873,0.00583102287679531
FS3,Text + type + language,xgboost,gradient_boosting,high,0.5336656170897589,0.00912354784714585,0.5422062788924114,0.021972282931030457,0.5377810003103008,0.014179307203931846
