feature_set,features,model,model_family,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,mean_accuracy,std_accuracy,mean_macro_precision,mean_macro_recall,feature_rank,delta_vs_fs1,delta_vs_previous,best_params
FS2,Text + type,linear_svm,linear,0.4700111920655451,0.011408420996443396,0.49147323528622805,0.011340921479155651,0.4931287200235276,0.011481361255310147,0.4720038264698364,0.46877241521203733,1,-0.0005702578629293575,-0.0005702578629293575,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced""}"
FS3,Text + type + language,knn_cosine,instance_based,0.4686628331835675,0.0023843649419406365,0.4923259450219798,0.0033017682745145323,0.5018833519637947,0.00591944822577054,0.5038837176620948,0.46370427024993904,2,-0.028152528146912326,-0.011173277497989798,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}"
FS3,Text + type + language,random_forest,bagging_ensemble,0.4675063102370179,0.005024389897555693,0.4989372186089132,0.0027037540236336155,0.5116889258031236,0.002082209703500033,0.5019223138637472,0.46547439727184264,2,0.0036795159990986592,-0.0027157363921250233,"{""classifier__class_weight"": ""balanced_subsample"", ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 2}"
FS1,Text,random_forest,bagging_ensemble,0.4638267942379192,0.005248320423188202,0.4958252254354477,0.005238349487466763,0.5090186230527578,0.0049088830422764854,0.49857457237741976,0.4622366241757862,0,0.0,,"{""classifier__class_weight"": ""balanced_subsample"", ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 2}"
FS1,Text,complement_naive_bayes,probabilistic,0.4484657343799049,0.005427712160745261,0.4692692700403538,0.005517888423037237,0.47145593643684497,0.005410342383526166,0.4489845034272049,0.45067350272209133,0,0.0,,"{""classifier__alpha"": 0.05}"
FS2,Text + type,complement_naive_bayes,probabilistic,0.4458279959290895,0.003972269333905403,0.4667080367051092,0.0044103500352335534,0.46953014308069285,0.004537847732138709,0.44688045226020784,0.4479313109688931,1,-0.0026377384508153856,-0.0026377384508153856,"{""classifier__alpha"": 0.05}"
FS3,Text + type + language,complement_naive_bayes,probabilistic,0.44575320374035216,0.003818060426476553,0.46674059117098177,0.004241086670285681,0.4695741175821512,0.0045325276497093486,0.4468240369917155,0.4476801680796984,2,-0.002712530639552735,-7.479218873734927e-05,"{""classifier__alpha"": 0.05}"
FS2,Text + type,xgboost,gradient_boosting,0.41900392007207843,0.004899185627480455,0.46501795704135807,0.006348934974800545,0.49338960577371277,0.007329263744471907,0.48825018526525205,0.4314951050156801,1,0.0018155689903600614,0.0018155689903600614,"{""classifier__max_depth"": 7, ""classifier__min_child_weight"": 1, ""classifier__reg_lambda"": 10.0}"
FS1,Text,xgboost,gradient_boosting,0.41718835108171837,0.004458951436911906,0.4638649382473945,0.005024746534991472,0.49268833287911945,0.00612957842144672,0.48482782861670176,0.4303706443786293,0,0.0,,"{""classifier__max_depth"": 7, ""classifier__min_child_weight"": 1, ""classifier__reg_lambda"": 10.0}"
FS3,Text + type + language,xgboost,gradient_boosting,0.4163424711785348,0.0016069756966465443,0.4622090768933935,0.004243197556304597,0.49041240151702103,0.006025438685359225,0.48379717393580624,0.42884022886951934,2,-0.0008458799031835773,-0.0026614488935436387,"{""classifier__max_depth"": 7, ""classifier__min_child_weight"": 1, ""classifier__reg_lambda"": 10.0}"
