model,model_family,candidate_id,candidate_number,parameters,representation,fold,macro_f1,weighted_f1,accuracy,macro_precision,macro_recall,fit_seconds,predict_seconds
xgboost,gradient boosted trees,xgboost__candidate_01,1,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_lambda"": 5.0}",shared TF-IDF text-only,0,0.33091038903155473,0.382974891230595,0.4226307725979427,0.38780374014249114,0.35939594935100655,5.030374500000107,0.32947039999999106
xgboost,gradient boosted trees,xgboost__candidate_01,1,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_lambda"": 5.0}",shared TF-IDF text-only,1,0.34508331645156276,0.401798194412937,0.4428884026258206,0.37228476204067434,0.37568196760357897,4.724147799999628,0.2911643000006734
xgboost,gradient boosted trees,xgboost__candidate_02,2,"{""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 350, ""reg_lambda"": 10.0}",shared TF-IDF text-only,0,0.3528137559135338,0.3986663243016084,0.42657036550667543,0.38311592725783544,0.36918794862209775,10.68156479999925,0.3835758999994141
xgboost,gradient boosted trees,xgboost__candidate_02,2,"{""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 350, ""reg_lambda"": 10.0}",shared TF-IDF text-only,1,0.35850923300683046,0.4093014144025036,0.4415754923413567,0.3882356492641621,0.37947994798347623,9.476730000000316,0.30101990000002843
lightgbm,gradient boosted trees,lightgbm__candidate_01,1,"{""learning_rate"": 0.05, ""n_estimators"": 250, ""num_leaves"": 31}",shared TF-IDF text-only,0,0.378487377681102,0.40703818312251033,0.41475158678047713,0.38600353859363357,0.3787136262982931,3.1679684999999154,0.45485789999838744
lightgbm,gradient boosted trees,lightgbm__candidate_01,1,"{""learning_rate"": 0.05, ""n_estimators"": 250, ""num_leaves"": 31}",shared TF-IDF text-only,1,0.4037260040770086,0.4334570858930873,0.4417943107221007,0.4126234725312284,0.40377814058819483,2.9092273999995086,0.4526765999999043
lightgbm,gradient boosted trees,lightgbm__candidate_02,2,"{""learning_rate"": 0.03, ""n_estimators"": 350, ""num_leaves"": 63}",shared TF-IDF text-only,0,0.3852680204997149,0.4154606109846878,0.42328737141606476,0.39157552228398873,0.38590324908919155,7.745571800000107,0.7342184999997698
lightgbm,gradient boosted trees,lightgbm__candidate_02,2,"{""learning_rate"": 0.03, ""n_estimators"": 350, ""num_leaves"": 63}",shared TF-IDF text-only,1,0.40592992299611746,0.4355553189342837,0.4431072210065646,0.41332437213042467,0.40583015534329797,7.082751899999494,0.7164641999988817
catboost,gradient boosted trees,catboost__candidate_01,1,"{""depth"": 5, ""iterations"": 250, ""learning_rate"": 0.05}",shared TF-IDF text-only,0,0.32367730194829825,0.3821633555412138,0.4305099584154082,0.41925513639348133,0.36224087655698756,35.205348600000434,0.28186839999943913
catboost,gradient boosted trees,catboost__candidate_01,1,"{""depth"": 5, ""iterations"": 250, ""learning_rate"": 0.05}",shared TF-IDF text-only,1,0.342046997287897,0.4046947182862932,0.4551422319474836,0.40116893207802296,0.38268051511830564,33.94794229999934,0.2957057999992685
catboost,gradient boosted trees,catboost__candidate_02,2,"{""depth"": 7, ""iterations"": 350, ""learning_rate"": 0.03}",shared TF-IDF text-only,0,0.32102126972220146,0.37826580548041006,0.42547603414313856,0.4075788725509817,0.3583328526059851,177.81890639999983,0.30070920000071055
catboost,gradient boosted trees,catboost__candidate_02,2,"{""depth"": 7, ""iterations"": 350, ""learning_rate"": 0.03}",shared TF-IDF text-only,1,0.3444798403321602,0.40642264858685023,0.4549234135667396,0.3881360428032312,0.38319839658478944,176.62959600000067,0.29407030000038503
distilmbert_multilingual,transformer,distilmbert_multilingual__candidate_01,1,"{""batch_size"": 8, ""epochs"": 1, ""freeze_lower_layers"": 0, ""learning_rate"": 2e-05, ""loss"": ""standard_cross_entropy"", ""max_length"": 160, ""model_id"": ""distilbert/distilbert-base-multilingual-cased"", ""model_revision"": ""45c032ab32cc946ad88a166f7cb282f58c753c2e"", ""weight_decay"": 0.01}",multilingual DistilBERT text-only,0,0.3179930959930332,0.37845990940153307,0.4278835631429197,0.2851570452106645,0.35962813757149936,2501.9388850000014,579.8979753999993
distilmbert_multilingual,transformer,distilmbert_multilingual__candidate_01,1,"{""batch_size"": 8, ""epochs"": 1, ""freeze_lower_layers"": 0, ""learning_rate"": 2e-05, ""loss"": ""standard_cross_entropy"", ""max_length"": 160, ""model_id"": ""distilbert/distilbert-base-multilingual-cased"", ""model_revision"": ""45c032ab32cc946ad88a166f7cb282f58c753c2e"", ""weight_decay"": 0.01}",multilingual DistilBERT text-only,1,0.32671019175730687,0.38876759500025915,0.4402625820568928,0.2932864111212983,0.3702475915693046,2492.1330620999997,562.3850631000023
distilmbert_multilingual,transformer,distilmbert_multilingual__candidate_02,2,"{""batch_size"": 8, ""epochs"": 1, ""freeze_lower_layers"": 0, ""learning_rate"": 3e-05, ""loss"": ""standard_cross_entropy"", ""max_length"": 160, ""model_id"": ""distilbert/distilbert-base-multilingual-cased"", ""model_revision"": ""45c032ab32cc946ad88a166f7cb282f58c753c2e"", ""weight_decay"": 0.01}",multilingual DistilBERT text-only,0,0.3000697140220477,0.35815100651844234,0.4178157145983804,0.2814363771243085,0.34901325800546185,2429.6738430000005,570.1859269999986
distilmbert_multilingual,transformer,distilmbert_multilingual__candidate_02,2,"{""batch_size"": 8, ""epochs"": 1, ""freeze_lower_layers"": 0, ""learning_rate"": 3e-05, ""loss"": ""standard_cross_entropy"", ""max_length"": 160, ""model_id"": ""distilbert/distilbert-base-multilingual-cased"", ""model_revision"": ""45c032ab32cc946ad88a166f7cb282f58c753c2e"", ""weight_decay"": 0.01}",multilingual DistilBERT text-only,1,0.27039641793595587,0.320553601860647,0.3984682713347921,0.26987368415970875,0.3375033094043012,2452.731462400003,570.2829664000019
