category,check,expected,observed,status,detail
H2,row: knn_cosine,1,1,PASS,
H2,delta: knn_cosine,-0.1582,-0.1581557161300034,PASS,atol=0.0005
H2,CI lower: knn_cosine,-0.167,-0.1669890962541103,PASS,atol=0.0005
H2,CI upper: knn_cosine,-0.1489,-0.1489219974726438,PASS,atol=0.0005
H2,Holm p: knn_cosine,1.0,1.0,PASS,atol=0.0007
H2,significant: knn_cosine,False,False,PASS,
H2,row: random_forest,1,1,PASS,
H2,delta: random_forest,0.0741,0.0741350600750221,PASS,atol=0.0005
H2,CI lower: random_forest,0.0676,0.0675617687404155,PASS,atol=0.0005
H2,CI upper: random_forest,0.0805,0.0804761476814746,PASS,atol=0.0005
H2,Holm p: random_forest,0.0006,0.0005999400059994,PASS,atol=0.0007
H2,significant: random_forest,True,True,PASS,
H2,row: xgboost,1,1,PASS,
H2,delta: xgboost,-0.163,-0.1629627046946452,PASS,atol=0.0005
H2,CI lower: xgboost,-0.17,-0.1700251266360282,PASS,atol=0.0005
H2,CI upper: xgboost,-0.1558,-0.1557890474796295,PASS,atol=0.0005
H2,Holm p: xgboost,1.0,1.0,PASS,atol=0.0007
H2,significant: xgboost,False,False,PASS,
H2,row: lightgbm,1,1,PASS,
H2,delta: lightgbm,-0.1731,-0.1731466164076794,PASS,atol=0.0005
H2,CI lower: lightgbm,-0.1831,-0.1830719228833913,PASS,atol=0.0005
H2,CI upper: lightgbm,-0.1632,-0.1631951838731765,PASS,atol=0.0005
H2,Holm p: lightgbm,1.0,1.0,PASS,atol=0.0007
H2,significant: lightgbm,False,False,PASS,
explainability,common-set validation rows,7,7,PASS,
explainability,common-set transformed feature counts,"{'logistic_regression': 15016, 'linear_svm': 15016, 'complement_naive_bayes': 15016, 'knn_cosine': 15016, 'random_forest': 15016, 'xgboost': 15016, 'lightgbm': 15016}","{'logistic_regression': 15016, 'linear_svm': 15016, 'complement_naive_bayes': 15016, 'knn_cosine': 15016, 'random_forest': 15016, 'xgboost': 15016, 'lightgbm': 15016}",PASS,
explainability,common-set additivity <= 0.001,True,True,PASS,max=0.00047669
explainability,common-set prediction reconstruction,True,True,PASS,
explainability,XGB sensitivity row,1,1,PASS,
explainability,XGB exact/approximate rho,0.9666,0.9665861172465536,PASS,atol=0.0005
explainability,final model feature_set,FS5,FS5,PASS,
explainability,final model model,lightgbm,lightgbm,PASS,
explainability,final model global_groups,300,300,PASS,
explainability,final model local_cases,12,12,PASS,
explainability,final model feature groups,"{'text', 'language', 'queue', 'sentiment', 'type'}","{'type', 'text', 'language', 'queue', 'sentiment'}",PASS,
explainability,final FS5 validation rows,1,1,PASS,
explainability,final-model feature set,FS5,FS5,PASS,
explainability,final-model classifier,lightgbm,lightgbm,PASS,
explainability,final FS5 transformed features,15019,15019,PASS,
explainability,final FS5 additivity <= 0.001,True,True,PASS,max=0.00019726
explainability,final FS5 prediction reconstruction,True,True,PASS,
explainability,final FS5 feature groups,"{'text', 'language', 'queue', 'sentiment', 'type'}","{'type', 'text', 'language', 'queue', 'sentiment'}",PASS,
explainability,final FS5 class outputs,"{'high', 'predicted_class', 'medium', 'low'}","{'high', 'predicted_class', 'medium', 'low'}",PASS,
explainability,sentiment group rows,4,4,PASS,
explainability,sentiment SHAP shares valid,True,True,PASS,
explainability,faithfulness summary present,True,True,PASS,
explainability,hash: xai_sample,0e2618cfb4cc47e9a21fbcd17cb973dc8bfc9e1a2e04f16ba1d8e242e0b54e8d,0e2618cfb4cc47e9a21fbcd17cb973dc8bfc9e1a2e04f16ba1d8e242e0b54e8d,PASS,
explainability,hash: compactness_summary,4d0fdbca36ec4dadd9afa7692260f53dd27beb2a2e98e61bab0e5bd0c60d5f94,4d0fdbca36ec4dadd9afa7692260f53dd27beb2a2e98e61bab0e5bd0c60d5f94,PASS,
explainability,hash: h2_pairwise_results,8643e212753f92b4fd0243f591110c9c77698729d077ef3a5e37a86b24a20ec7,8643e212753f92b4fd0243f591110c9c77698729d077ef3a5e37a86b24a20ec7,PASS,
explainability,hash: faithfulness_summary,5e4db9792c2866b582d884df1b3aff1d3b41c70cb851e6933dc735483d1b6109,5e4db9792c2866b582d884df1b3aff1d3b41c70cb851e6933dc735483d1b6109,PASS,
explainability,hash: validation_summary,9d9b3cb6d8a60048780d316d051d7d5b6843bfb64fa046e43222b571ecc33e39,9d9b3cb6d8a60048780d316d051d7d5b6843bfb64fa046e43222b571ecc33e39,PASS,
explainability,hash: xgboost_sensitivity_summary,1e5adb92c39d7b042b1e8a81b899e7f5f01f19c07322cdf3958403f59cd150d7,1e5adb92c39d7b042b1e8a81b899e7f5f01f19c07322cdf3958403f59cd150d7,PASS,
explainability,hash: final_model_feature_group_summary,da726e5befd8dd4a6452684317d8518e1cbb8473b775cd4929e10fc8175950e6,da726e5befd8dd4a6452684317d8518e1cbb8473b775cd4929e10fc8175950e6,PASS,
